employeeid,name,age,department,hiredate,salary,level,subsidy,total
13023,Gilbert,24,Human Resource,2018-10-01,1290,3,,
13038,Kilby,26,Development,2016-09-22,1390,3,,
13053,Kyle,28,Ministry of Law ,2010-03-09,1490,3,,
13068,Willis,30,Production,2018-10-01,1590,4,,
13083,Joe,32,Purchasing,2016-09-22,1690,4,,
13098,Leonard,34,Marketing,2010-03-09,1790,4,,
13113,Kerwin,36,Engineering,2018-10-01,1890,4,,
13128,Faithful,38,Finance,2016-09-22,1990,4,,
13143,Dean,40,Testing,2010-02-03,2090,4,,
13158,Wylie,42,Customer Service,2011-02-03,2190,4,,
13173,Unity,44,Customer Service,2012-02-03,2290,4,,
13188,Nadine,21,Human Resource,2013-02-03,2390,4,,
13203,Pandora,47,Development,2014-02-03,2490,4,,
13218,Molly,46,Ministry of Law ,2015-02-03,2590,5,,
13233,Naomi,45,Production,2016-02-03,2690,5,,
13248,Beauty,44,Purchasing,2017-02-03,1039,3,,
13263,Searcher,43,Marketing,2018-02-03,1040,3,,
13278,Luna,42,Engineering,2019-02-03,1041,3,,
13293,Abigail,41,Finance,2020-02-03,1042,3,,
13308,Myrtle,40,Testing,2011-02-03,1043,3,,
13323,Glenn,39,Customer Service,2012-02-03,1044,3,,
13338,Elvis,38,Customer Service,2013-02-03,1045,3,,
13353,Frey,37,Human Resource,2014-02-03,1046,3,,
13368,Supplanter,36,Development,2015-02-03,1047,3,,
13383,Wesley,35,Ministry of Law ,2016-02-03,1048,3,,
13398,Lane,34,Production,2017-02-03,1049,3,,
13413,Wilbur,33,Purchasing,2015-03-05,1050,3,,
13428,Frasier,32,Marketing,2015-03-08,1051,3,,
13443,Lancelot,31,Engineering,2015-03-11,1052,3,,
13458,Lars,30,Human Resource,2015-03-14,1053,3,,
13473,Eighth,29,Development,2015-03-17,1054,3,,
13488,Plains,28,Ministry of Law ,2015-03-20,1055,3,,
13503,Kathleen,27,Production,2015-03-23,1056,3,,
13518,Millicent,26,Purchasing,2015-03-26,1057,3,,
13533,Marie,25,Marketing,2015-03-29,1058,3,,
13548,Lucia,24,Engineering,2015-04-01,1059,3,,
13563,Jane,33,Finance,2015-04-04,1060,3,,
13578,Flora,40,Testing,2015-04-07,1061,3,,
13593,Fedora,47,Customer Service,2015-04-10,1062,3,,
13608,Mavis,54,Customer Service,2015-04-13,1063,3,,
13623,Imogene,55,Human Resource,2015-04-16,1064,3,,
13638,Alma,29,Development,2015-04-19,1065,3,,
13653,Lucia,20,Ministry of Law ,2015-04-22,1066,3,,
13668,Lee,30,Production,2015-04-25,1067,3,,
13683,Listener,40,Purchasing,2015-04-28,1068,3,,
13698,Rowena,50,Marketing,2015-05-01,1069,3,,
13713,Unity,20,Engineering,2015-05-04,1070,3,,
13728,Pleasure,31,Marketing,2015-05-07,1071,3,,
13743,Deborah,30,Engineering,2015-05-10,1072,3,,
13758,Elfin,29,Human Resource,2015-05-13,1073,3,,
14500,Caretaker,28,Development,2015-05-16,1074,3,,
14574,Emery,27,Ministry of Law ,2015-05-19,1075,3,,
14648,Samson,26,Production,2015-05-22,2098,4,,
14722,Edward,25,Purchasing,2015-05-25,2198,4,,
14796,Kenneth,24,Marketing,2015-05-28,2298,4,,
14870,Nimble,33,Engineering,2015-05-31,2398,4,,
14944,Marlon,40,Finance,2015-06-03,2498,4,,
15018,Sigmund,47,Ministry of Law ,2015-06-06,2598,5,,
15092,Quincy,54,Production,2015-06-09,2698,5,,
15166,Constant,55,Purchasing,2015-06-12,2798,5,,
15240,Falcon,29,Marketing,2013-01-02,2898,5,,
15314,Marcus,20,Engineering,2013-01-12,2998,5,,
15388,Drake,30,Marketing,2013-01-22,3098,5,,
15462,Philip,40,Engineering,2013-02-01,3198,5,,
15536,Horatio,31,Human Resource,2013-02-11,3298,5,,
15610,Quinn,30,Development,2013-02-21,3398,5,,
15684,Respected,29,Marketing,2013-03-03,3498,5,,
15758,Gilroy,28,Engineering,2013-03-13,3598,6,,
15832,Ward,27,Human Resource,2013-03-23,3698,6,,
15906,Edmund,26,Development,2013-04-02,3798,6,,
15980,Roy,25,Ministry of Law ,2013-04-12,3898,6,,
16054,Neville,24,Production,2013-04-22,3998,6,,
16128,Roland,33,Purchasing,2013-05-02,4098,6,,
16202,Samuel,40,Marketing,2013-05-12,4198,6,,
16276,Paxton,47,Engineering,2013-05-22,4298,6,,
16350,Sinclair,54,Finance,2013-06-01,4398,6,,
16424,Sherard,55,Ministry of Law ,2013-06-11,5901,8,,
16498,Rhett,29,Production,2013-06-21,5891,8,,
16572,Norseman,20,Purchasing,2013-07-01,5881,8,,
16646,Quinlan,30,Marketing,2013-07-11,5871,8,,
16720,Doris,40,Ministry of Law ,2013-07-21,5861,8,,
16794,Monica,27,Production,2013-07-31,5851,8,,
16868,Myrrh,26,Purchasing,2013-08-10,5841,8,,
16942,Serene,25,Marketing,2013-08-20,5831,8,,
17016,Eighth,24,Engineering,2013-08-30,5821,8,,
17090,Dark-Haired,33,Marketing,2013-09-09,5811,8,,
17164,Sirena,40,Engineering,2013-09-19,5801,8,,
17238,Patty,47,Human Resource,2013-09-29,5791,8,,
17312,Adrienne,54,Development,2013-10-09,5781,8,,
17386,Eunice,55,Marketing,2013-10-19,5771,8,,
17460,Nessia,29,Engineering,2013-10-29,5761,8,,
17534,Effie,20,Human Resource,2013-11-08,5751,8,,
17608,Delilah,30,Development,2013-11-18,5741,8,,
17682,Talia,40,Ministry of Law ,2013-11-28,5731,8,,
17756,Peace,31,Production,2013-12-08,5721,8,,
17830,Fighter,30,Purchasing,2013-12-18,5711,8,,
17904,Ulrica,29,Marketing,2013-12-28,5701,8,,
17978,Searcher,28,Engineering,2014-01-07,5691,8,,
18052,Teresa,27,Finance,2014-01-17,5681,8,,
18054,Miriam,26,Customer Service,2014-01-27,5671,8,,
18302,Jacob,25,Human Resource,2014-02-06,5661,8,,
